name,year,population
Holy See,1980,"75,314"
Holy See,1975,"72,094"
Holy See,1970,"71,073"
Holy See,1970,"24,276"
Holy See,1965,"18,549"
Holy See,1960,"13,411"
Holy See,1955,"9,232"
Holy See,2015,"83,234"
Holy See,2010,"84,857"
Holy See,2005,"80,305"
Holy See,2000,"76,941"
Holy See,1995,"72,131"
Holy See,2019,"110,589"
Holy See,2017,"105,366"
Holy See,2016,"104,872"
Holy See,2015,"104,341"
Holy See,2010,"101,669"
Holy See,2005,"100,031"
Holy See,1965,"37,964"
Holy See,1960,"31,239"
Holy See,1955,"25,846"
Holy See,2016,"95,710"
Holy See,2019,"112,003"
Holy See,2018,"111,454"
Holy See,2017,"110,874"
Holy See,2015,"104,958"
Holy See,2010,"106,087"
Holy See,2016,"101,133"
Holy See,2015,"100,781"
Holy See,2010,"103,986"
Holy See,1965,"8,369"
Holy See,1960,"7,865"
Holy See,1955,"6,677"
Holy See,2017,"95,426"
Holy See,2016,"94,527"
Holy See,1965,"65,038"
Holy See,1960,"60,011"
Holy See,1955,"54,560"
Holy See,1990,"70,298"
Holy See,1985,"64,278"
Holy See,1980,"63,551"
Holy See,2020,"119,449"
Holy See,2019,"117,606"
Holy See,2018,"115,847"
Holy See,2020,"164,093"
Holy See,2019,"163,424"
Holy See,2018,"162,752"
Holy See,2020,"168,775"
Holy See,2020,"173,863"
Holy See,2018,"110,211"
Holy See,2017,"109,827"
Holy See,2016,"109,459"
Holy See,2000,"90,853"
Holy See,1995,"80,324"
Holy See,1990,"62,149"
Holy See,1985,"63,026"
Holy See,2015,"94,978"
Holy See,2010,"91,264"
Holy See,2005,"88,648"
Holy See,2016,"110,261"
Holy See,2015,"109,599"
Holy See,2010,"106,233"
Holy See,2005,"104,661"
Holy See,2000,"102,833"
Holy See,2005,"107,794"
Holy See,2000,"108,722"
Holy See,1995,"107,392"
Holy See,2005,"100,905"
Holy See,2000,"97,973"
Holy See,1995,"95,976"
Holy See,2015,"93,566"
Holy See,2010,"88,028"
Holy See,2005,"81,465"
Holy See,2000,"76,016"
Holy See,1975,"59,478"
Holy See,1970,"55,425"
Holy See,1965,"50,141"
Holy See,1960,"48,442"
Holy See,2017,"114,158"
Holy See,2016,"112,524"
Holy See,2015,"110,930"
Holy See,2010,"102,927"
Holy See,2005,"92,325"
Holy See,2017,"161,997"
Holy See,2016,"161,052"
Holy See,2015,"159,847"
Holy See,2010,"149,192"
Holy See,2019,"167,294"
Holy See,2018,"165,768"
Holy See,2017,"164,281"
Holy See,2016,"162,951"
Holy See,2015,"161,853"
Holy See,2010,"159,444"
Holy See,2019,"172,259"
Holy See,2015,"109,148"
Holy See,2010,"108,255"
Holy See,2005,"108,614"
Holy See,2000,"107,784"
Holy See,1980,"60,096"
Holy See,1975,"60,657"
Holy See,1970,"59,063"
